;gender;date;hitCreationDate;householdIncome;householdSize;locationCity;locationCountry;locationRegion;maritalStatus;postToCompletionSecs;workerId;yearOfBirth
907;male;2020-10-22 02:05:54.574;2020-10-22 02:03:00.000;$75,000-$99,999;5+;sao goncalo;BR;rj;single;174;f1919f9f781b5c15ef26eb33ccd37511;1996
908;female;2020-10-22 01:52:35.457;2020-10-22 01:33:00.000;$15,000-$24,999;3;mashpee;US;ma;single;1175;3d2d8554cd6aa6f08153b63bfb34aec0;1992
909;male;2020-10-22 01:49:47.042;2020-10-22 01:48:01.000;$100,000 or more;5+;fate;US;tx;married;106;d0e822a84a3f32eba721d1b6e72ceb56;1984
910;female;2020-10-22 01:36:28.941;2020-10-22 01:18:01.000;$40,000-$59,999;2;san diego;US;ca;cohabitating;1107;309956468c2b6105f6fe9b886df9d276;1995
911;female;2020-10-22 01:04:27.727;2020-10-22 01:03:01.000;$10,000-$14,999;5+;virginia beach;US;va;married;86;fa9b92d65d9fdfc315e2ff859c43f8d3;1988
912;male;2020-10-22 00:50:28.719;2020-10-21 23:48:00.000;$15,000-$24,999;2;guaruja;BR;sp;single;3748;b8fa182b43754fb9992cae55f22b8647;1994
913;male;2020-10-22 00:49:06.846;2020-10-22 00:48:01.000;$15,000-$24,999;4;saint charles;US;md;single;65;f8e50d03683365968e692b095d3053e4;1993
914;female;2020-10-22 00:38:18.954;2020-10-22 00:33:00.000;$75,000-$99,999;2;jacksonville;US;fl;married;318;0598f7996cc09085764754034295600e;1977
915;female;2020-10-22 00:36:19.744;2020-10-22 00:03:01.000;$75,000-$99,999;5+;university city;US;mo;married;1998;f3c66483a4ceda07d5716fb7ba79d21f;1974
916;male;2020-10-22 00:21:07.435;2020-10-21 23:33:00.000;$60,000-$74,999;3;new york;US;ny;single;2887;2a6737f3e1770a0e5b67f26b84641f69;1989
917;male;2020-10-22 00:20:49.980;2020-10-22 00:18:01.000;$100,000 or more;4;irving;US;tx;married;168;d1943c6d5be6376e7eee86e6bb1fe5b1;1969
918;female;2020-10-21 23:41:56.446;2020-10-21 23:18:02.000;$25,000-$39,999;2;detroit;US;mi;cohabitating;1434;a886f110141dcf96f6ea6eb521a08ef0;1984
919;male;2020-10-21 22:54:19.444;2020-10-21 22:03:02.000;$25,000-$39,999;1;montreal;CA;qc;single;3077;1a72b688339b76e21de21ce9fb4680a0;1988
